5,P,PPC,"Peercoin (PPC) is a cryptocurrency . Users are able to generate PPC through the process of mining. Peercoin has a current supply of 27,274,597.41390335. The last known price of Peercoin is 0.79453911 USD and is up 7.34 over the last 24 hours. It is currently trading on 10 active market(s) with $14,780.79 traded over the last 24 hours. More information can be found at http://www.peercoin.net.",http://www.peercoin.net,https://t.me/peercoin,Willy,https://t.me/bananenwilly
5614,Z,ZLW,"Zelwin (ZLW) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Zelwin has a current supply of 300,000,000 with 72,331,834.1691 in circulation. The last known price of Zelwin is 2.79965953 USD and is up 59.23 over the last 24 hours. It is currently trading on 7 active market(s) with $870,980.40 traded over the last 24 hours. More information can be found at https://zelwin.com/.",https://zelwin.com/,https://t.me/ZelwinRussia,ZELWIN,https://t.me/ZelwinAdmin
5614,Z,ZLW,"Zelwin (ZLW) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Zelwin has a current supply of 300,000,000 with 72,331,834.1691 in circulation. The last known price of Zelwin is 2.79965953 USD and is up 59.23 over the last 24 hours. It is currently trading on 7 active market(s) with $870,980.40 traded over the last 24 hours. More information can be found at https://zelwin.com/.",https://zelwin.com/,https://t.me/ZelwinRussia,Zelwin,https://t.me/zelwinpro
5614,Z,ZLW,"Zelwin (ZLW) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Zelwin has a current supply of 300,000,000 with 72,331,834.1691 in circulation. The last known price of Zelwin is 2.79965953 USD and is up 59.23 over the last 24 hours. It is currently trading on 7 active market(s) with $870,980.40 traded over the last 24 hours. More information can be found at https://zelwin.com/.",https://zelwin.com/,https://t.me/ZelwinRussia,Paul,https://t.me/anon
5614,Z,ZLW,"Zelwin (ZLW) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Zelwin has a current supply of 300,000,000 with 72,331,834.1691 in circulation. The last known price of Zelwin is 2.79965953 USD and is up 59.23 over the last 24 hours. It is currently trading on 7 active market(s) with $870,980.40 traded over the last 24 hours. More information can be found at https://zelwin.com/.",https://zelwin.com/,https://t.me/ZelwinRussia,Юлия,https://t.me/MissYulia
5614,Z,ZLW,"Zelwin (ZLW) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Zelwin has a current supply of 300,000,000 with 72,331,834.1691 in circulation. The last known price of Zelwin is 2.79965953 USD and is up 59.23 over the last 24 hours. It is currently trading on 7 active market(s) with $870,980.40 traded over the last 24 hours. More information can be found at https://zelwin.com/.",https://zelwin.com/,https://t.me/ZelwinRussia,2Garin,https://t.me/TwoGarin_Ru
5614,Z,ZLW,"Zelwin (ZLW) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Zelwin has a current supply of 300,000,000 with 72,331,834.1691 in circulation. The last known price of Zelwin is 2.79965953 USD and is up 59.23 over the last 24 hours. It is currently trading on 7 active market(s) with $870,980.40 traded over the last 24 hours. More information can be found at https://zelwin.com/.",https://zelwin.com/,https://t.me/ZelwinRussia,Nikolay Mentor,https://t.me/VIPmentor
5616,M,MATH,"MATH (MATH) is a cryptocurrency launched in 2018and operates on the Ethereum platform. MATH has a current supply of 200,000,000 with 114,356,164.04 in circulation. The last known price of MATH is 0.70444399 USD and is up 0.89 over the last 24 hours. It is currently trading on 16 active market(s) with $613,086.21 traded over the last 24 hours. More information can be found at https://mathwallet.org.",https://mathwallet.org,https://t.me/mathwallet,Rainie,https://t.me/rainie_yang
5616,M,MATH,"MATH (MATH) is a cryptocurrency launched in 2018and operates on the Ethereum platform. MATH has a current supply of 200,000,000 with 114,356,164.04 in circulation. The last known price of MATH is 0.70444399 USD and is up 0.89 over the last 24 hours. It is currently trading on 16 active market(s) with $613,086.21 traded over the last 24 hours. More information can be found at https://mathwallet.org.",https://mathwallet.org,https://t.me/mathwallet,Eric,https://t.me/ericfish
5618,D,DAWN,"Dawn Protocol (DAWN) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Dawn Protocol has a current supply of 76,588,156.82742885 with 71,558,063.27221543 in circulation. The last known price of Dawn Protocol is 2.60288573 USD and is up 6.43 over the last 24 hours. It is currently trading on 8 active market(s) with $12,994,847.28 traded over the last 24 hours. More information can be found at https://dawn.org.",https://dawn.org,https://t.me/dawnprotocol,Joe,https://t.me/joefb
5618,D,DAWN,"Dawn Protocol (DAWN) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Dawn Protocol has a current supply of 76,588,156.82742885 with 71,558,063.27221543 in circulation. The last known price of Dawn Protocol is 2.60288573 USD and is up 6.43 over the last 24 hours. It is currently trading on 8 active market(s) with $12,994,847.28 traded over the last 24 hours. More information can be found at https://dawn.org.",https://dawn.org,https://t.me/dawnprotocol,Remy ( I will never DM you ),https://t.me/leimi06
5618,D,DAWN,"Dawn Protocol (DAWN) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Dawn Protocol has a current supply of 76,588,156.82742885 with 71,558,063.27221543 in circulation. The last known price of Dawn Protocol is 2.60288573 USD and is up 6.43 over the last 24 hours. It is currently trading on 8 active market(s) with $12,994,847.28 traded over the last 24 hours. More information can be found at https://dawn.org.",https://dawn.org,https://t.me/dawnprotocol,Mikko,https://t.me/miohtama
5618,D,DAWN,"Dawn Protocol (DAWN) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Dawn Protocol has a current supply of 76,588,156.82742885 with 71,558,063.27221543 in circulation. The last known price of Dawn Protocol is 2.60288573 USD and is up 6.43 over the last 24 hours. It is currently trading on 8 active market(s) with $12,994,847.28 traded over the last 24 hours. More information can be found at https://dawn.org.",https://dawn.org,https://t.me/dawnprotocol,Sherry,https://t.me/anon
5618,D,DAWN,"Dawn Protocol (DAWN) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Dawn Protocol has a current supply of 76,588,156.82742885 with 71,558,063.27221543 in circulation. The last known price of Dawn Protocol is 2.60288573 USD and is up 6.43 over the last 24 hours. It is currently trading on 8 active market(s) with $12,994,847.28 traded over the last 24 hours. More information can be found at https://dawn.org.",https://dawn.org,https://t.me/dawnprotocol,Vadim,https://t.me/SOLOVadim
5622,D,DMCH,"Darma Cash (DMCH) is a cryptocurrency launched in 2019. Darma Cash has a current supply of 215,980,977. The last known price of Darma Cash is 0.33858093 USD and is up 0.02 over the last 24 hours. It is currently trading on 2 active market(s) with $49,061.16 traded over the last 24 hours. More information can be found at https://www.darmacash.com/.",https://www.darmacash.com/,https://t.me/DarmaCash,CS,https://t.me/Csryan
5622,D,DMCH,"Darma Cash (DMCH) is a cryptocurrency launched in 2019. Darma Cash has a current supply of 215,980,977. The last known price of Darma Cash is 0.33858093 USD and is up 0.02 over the last 24 hours. It is currently trading on 2 active market(s) with $49,061.16 traded over the last 24 hours. More information can be found at https://www.darmacash.com/.",https://www.darmacash.com/,https://t.me/DarmaCash,Robert,https://t.me/Robertslagen
5625,L,LYXe,"LUKSO (LYXe) is a cryptocurrency launched in 2018and operates on the Ethereum platform. LUKSO has a current supply of 100,000,000 with 15,125,915.70885664 in circulation. The last known price of LUKSO is 16.14134637 USD and is up 17.90 over the last 24 hours. It is currently trading on 9 active market(s) with $3,519,384.83 traded over the last 24 hours. More information can be found at https://lukso.network.",https://lukso.network,https://t.me/LUKSO,Mike,https://t.me/Itzamike
5625,L,LYXe,"LUKSO (LYXe) is a cryptocurrency launched in 2018and operates on the Ethereum platform. LUKSO has a current supply of 100,000,000 with 15,125,915.70885664 in circulation. The last known price of LUKSO is 16.14134637 USD and is up 17.90 over the last 24 hours. It is currently trading on 9 active market(s) with $3,519,384.83 traded over the last 24 hours. More information can be found at https://lukso.network.",https://lukso.network,https://t.me/LUKSO,Alex,https://t.me/AlexEther
5625,L,LYXe,"LUKSO (LYXe) is a cryptocurrency launched in 2018and operates on the Ethereum platform. LUKSO has a current supply of 100,000,000 with 15,125,915.70885664 in circulation. The last known price of LUKSO is 16.14134637 USD and is up 17.90 over the last 24 hours. It is currently trading on 9 active market(s) with $3,519,384.83 traded over the last 24 hours. More information can be found at https://lukso.network.",https://lukso.network,https://t.me/LUKSO,marjorie | lukso.io,https://t.me/m_h_d_v
5625,L,LYXe,"LUKSO (LYXe) is a cryptocurrency launched in 2018and operates on the Ethereum platform. LUKSO has a current supply of 100,000,000 with 15,125,915.70885664 in circulation. The last known price of LUKSO is 16.14134637 USD and is up 17.90 over the last 24 hours. It is currently trading on 9 active market(s) with $3,519,384.83 traded over the last 24 hours. More information can be found at https://lukso.network.",https://lukso.network,https://t.me/LUKSO,Fabian,https://t.me/frozeman
