5,P,PPC,"Peercoin (PPC) is a cryptocurrency . Users are able to generate PPC through the process of mining. Peercoin has a current supply of 27,274,597.41390335. The last known price of Peercoin is 0.79453911 USD and is up 7.34 over the last 24 hours. It is currently trading on 10 active market(s) with $14,780.79 traded over the last 24 hours. More information can be found at http://www.peercoin.net.",http://www.peercoin.net,https://t.me/peercoin,Willy,https://t.me/bananenwilly
8649,O,OXB,"Oxbull.tech (OXB) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. Oxbull.tech has a current supply of 9,801,505.29 with 7,501,503.73 in circulation. The last known price of Oxbull.tech is 4.1405057 USD and is down -0.13 over the last 24 hours. It is currently trading on 4 active market(s) with $848,530.22 traded over the last 24 hours. More information can be found at https://www.oxbull.tech/.",https://www.oxbull.tech/,https://t.me/Oxbull_tech,Madhav | Oxbull,https://t.me/Madhavsinghal
8649,O,OXB,"Oxbull.tech (OXB) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. Oxbull.tech has a current supply of 9,801,505.29 with 7,501,503.73 in circulation. The last known price of Oxbull.tech is 4.1405057 USD and is down -0.13 over the last 24 hours. It is currently trading on 4 active market(s) with $848,530.22 traded over the last 24 hours. More information can be found at https://www.oxbull.tech/.",https://www.oxbull.tech/,https://t.me/Oxbull_tech,Sigmund Freud | Never DM you first,https://t.me/sfreud1
8649,O,OXB,"Oxbull.tech (OXB) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. Oxbull.tech has a current supply of 9,801,505.29 with 7,501,503.73 in circulation. The last known price of Oxbull.tech is 4.1405057 USD and is down -0.13 over the last 24 hours. It is currently trading on 4 active market(s) with $848,530.22 traded over the last 24 hours. More information can be found at https://www.oxbull.tech/.",https://www.oxbull.tech/,https://t.me/Oxbull_tech,0xWagyu,https://t.me/OxWagyu
8649,O,OXB,"Oxbull.tech (OXB) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. Oxbull.tech has a current supply of 9,801,505.29 with 7,501,503.73 in circulation. The last known price of Oxbull.tech is 4.1405057 USD and is down -0.13 over the last 24 hours. It is currently trading on 4 active market(s) with $848,530.22 traded over the last 24 hours. More information can be found at https://www.oxbull.tech/.",https://www.oxbull.tech/,https://t.me/Oxbull_tech,AMMO,https://t.me/Imoammo
8649,O,OXB,"Oxbull.tech (OXB) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. Oxbull.tech has a current supply of 9,801,505.29 with 7,501,503.73 in circulation. The last known price of Oxbull.tech is 4.1405057 USD and is down -0.13 over the last 24 hours. It is currently trading on 4 active market(s) with $848,530.22 traded over the last 24 hours. More information can be found at https://www.oxbull.tech/.",https://www.oxbull.tech/,https://t.me/Oxbull_tech,Blake,https://t.me/crypto_shiloh
8649,O,OXB,"Oxbull.tech (OXB) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. Oxbull.tech has a current supply of 9,801,505.29 with 7,501,503.73 in circulation. The last known price of Oxbull.tech is 4.1405057 USD and is down -0.13 over the last 24 hours. It is currently trading on 4 active market(s) with $848,530.22 traded over the last 24 hours. More information can be found at https://www.oxbull.tech/.",https://www.oxbull.tech/,https://t.me/Oxbull_tech,PFF,https://t.me/peter_cryptomod
8649,O,OXB,"Oxbull.tech (OXB) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. Oxbull.tech has a current supply of 9,801,505.29 with 7,501,503.73 in circulation. The last known price of Oxbull.tech is 4.1405057 USD and is down -0.13 over the last 24 hours. It is currently trading on 4 active market(s) with $848,530.22 traded over the last 24 hours. More information can be found at https://www.oxbull.tech/.",https://www.oxbull.tech/,https://t.me/Oxbull_tech,Aurthur|CM,https://t.me/aurthurharry
8649,O,OXB,"Oxbull.tech (OXB) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. Oxbull.tech has a current supply of 9,801,505.29 with 7,501,503.73 in circulation. The last known price of Oxbull.tech is 4.1405057 USD and is down -0.13 over the last 24 hours. It is currently trading on 4 active market(s) with $848,530.22 traded over the last 24 hours. More information can be found at https://www.oxbull.tech/.",https://www.oxbull.tech/,https://t.me/Oxbull_tech,0xKusa,https://t.me/OxKusa
8649,O,OXB,"Oxbull.tech (OXB) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. Oxbull.tech has a current supply of 9,801,505.29 with 7,501,503.73 in circulation. The last known price of Oxbull.tech is 4.1405057 USD and is down -0.13 over the last 24 hours. It is currently trading on 4 active market(s) with $848,530.22 traded over the last 24 hours. More information can be found at https://www.oxbull.tech/.",https://www.oxbull.tech/,https://t.me/Oxbull_tech,0xUshi | Product Lead Oxbull| Never DM you first,https://t.me/OxUshi
8660,B,BSCPAD,"BSCPAD (BSCPAD) is a cryptocurrency launched in 2021and operates on the Binance Smart Chain (BEP20) platform. BSCPAD has a current supply of 175,600,000 with 79,211,621 in circulation. The last known price of BSCPAD is 2.35222617 USD and is up 11.21 over the last 24 hours. It is currently trading on 6 active market(s) with $14,387,805.36 traded over the last 24 hours. More information can be found at https://bscpad.com/.",https://bscpad.com/,https://t.me/bscpad,Divinechoice,https://t.me/divinechoice9
