5,P,PPC,"Peercoin (PPC) is a cryptocurrency . Users are able to generate PPC through the process of mining. Peercoin has a current supply of 27,274,597.41390335. The last known price of Peercoin is 0.79453911 USD and is up 7.34 over the last 24 hours. It is currently trading on 10 active market(s) with $14,780.79 traded over the last 24 hours. More information can be found at http://www.peercoin.net.",http://www.peercoin.net,https://t.me/peercoin,Willy,https://t.me/bananenwilly
5305,B,BTSE,"BTSE (BTSE) is a cryptocurrency launched in 2020and operates on the Ethereum platform. BTSE has a current supply of 165,904,711 with 4,354,711 in circulation. The last known price of BTSE is 6.62943546 USD and is up 3.72 over the last 24 hours. It is currently trading on 4 active market(s) with $1,319,585.63 traded over the last 24 hours. More information can be found at https://www.btse.com.",https://www.btse.com,https://t.me/btsecom,BTSEHai,https://t.me/BTSEHai
5305,B,BTSE,"BTSE (BTSE) is a cryptocurrency launched in 2020and operates on the Ethereum platform. BTSE has a current supply of 165,904,711 with 4,354,711 in circulation. The last known price of BTSE is 6.62943546 USD and is up 3.72 over the last 24 hours. It is currently trading on 4 active market(s) with $1,319,585.63 traded over the last 24 hours. More information can be found at https://www.btse.com.",https://www.btse.com,https://t.me/btsecom,Kev,https://t.me/btsekev
5305,B,BTSE,"BTSE (BTSE) is a cryptocurrency launched in 2020and operates on the Ethereum platform. BTSE has a current supply of 165,904,711 with 4,354,711 in circulation. The last known price of BTSE is 6.62943546 USD and is up 3.72 over the last 24 hours. It is currently trading on 4 active market(s) with $1,319,585.63 traded over the last 24 hours. More information can be found at https://www.btse.com.",https://www.btse.com,https://t.me/btsecom,Brian,https://t.me/brian8664
5326,O,ORC,"Orbit Chain (ORC) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Orbit Chain has a current supply of 982,474,646.52394 with 572,402,163.6965842 in circulation. The last known price of Orbit Chain is 0.67374471 USD and is up 9.13 over the last 24 hours. It is currently trading on 7 active market(s) with $4,371,411.10 traded over the last 24 hours. More information can be found at https://orbitchain.io/.",https://orbitchain.io/,https://t.me/Orbit_Chain,Rick,https://t.me/Eric7001
5326,O,ORC,"Orbit Chain (ORC) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Orbit Chain has a current supply of 982,474,646.52394 with 572,402,163.6965842 in circulation. The last known price of Orbit Chain is 0.67374471 USD and is up 9.13 over the last 24 hours. It is currently trading on 7 active market(s) with $4,371,411.10 traded over the last 24 hours. More information can be found at https://orbitchain.io/.",https://orbitchain.io/,https://t.me/Orbit_Chain,Keith,https://t.me/OC_Keith
5326,O,ORC,"Orbit Chain (ORC) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Orbit Chain has a current supply of 982,474,646.52394 with 572,402,163.6965842 in circulation. The last known price of Orbit Chain is 0.67374471 USD and is up 9.13 over the last 24 hours. It is currently trading on 7 active market(s) with $4,371,411.10 traded over the last 24 hours. More information can be found at https://orbitchain.io/.",https://orbitchain.io/,https://t.me/Orbit_Chain,wonki,https://t.me/back90wk
5326,O,ORC,"Orbit Chain (ORC) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Orbit Chain has a current supply of 982,474,646.52394 with 572,402,163.6965842 in circulation. The last known price of Orbit Chain is 0.67374471 USD and is up 9.13 over the last 24 hours. It is currently trading on 7 active market(s) with $4,371,411.10 traded over the last 24 hours. More information can be found at https://orbitchain.io/.",https://orbitchain.io/,https://t.me/Orbit_Chain,Jake C,https://t.me/jakecx
5326,O,ORC,"Orbit Chain (ORC) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Orbit Chain has a current supply of 982,474,646.52394 with 572,402,163.6965842 in circulation. The last known price of Orbit Chain is 0.67374471 USD and is up 9.13 over the last 24 hours. It is currently trading on 7 active market(s) with $4,371,411.10 traded over the last 24 hours. More information can be found at https://orbitchain.io/.",https://orbitchain.io/,https://t.me/Orbit_Chain,Joon Kee,https://t.me/joonkeep
5326,O,ORC,"Orbit Chain (ORC) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Orbit Chain has a current supply of 982,474,646.52394 with 572,402,163.6965842 in circulation. The last known price of Orbit Chain is 0.67374471 USD and is up 9.13 over the last 24 hours. It is currently trading on 7 active market(s) with $4,371,411.10 traded over the last 24 hours. More information can be found at https://orbitchain.io/.",https://orbitchain.io/,https://t.me/Orbit_Chain,,https://t.me/anon
