5,P,PPC,"Peercoin (PPC) is a cryptocurrency . Users are able to generate PPC through the process of mining. Peercoin has a current supply of 27,274,597.41390335. The last known price of Peercoin is 0.79453911 USD and is up 7.34 over the last 24 hours. It is currently trading on 10 active market(s) with $14,780.79 traded over the last 24 hours. More information can be found at http://www.peercoin.net.",http://www.peercoin.net,https://t.me/peercoin,Willy,https://t.me/bananenwilly
5541,X,CHI,"Xaya (CHI) is a cryptocurrency launched in 2018. Xaya has a current supply of 57,605,021.95319532 with 48,462,894.95319532 in circulation. The last known price of Xaya is 0.45742837 USD and is up 7.29 over the last 24 hours. It is currently trading on 8 active market(s) with $59,181.79 traded over the last 24 hours. More information can be found at https://xaya.io/.",https://xaya.io/,https://t.me/xaya_en,Robin,https://t.me/RobinCl
5541,X,CHI,"Xaya (CHI) is a cryptocurrency launched in 2018. Xaya has a current supply of 57,605,021.95319532 with 48,462,894.95319532 in circulation. The last known price of Xaya is 0.45742837 USD and is up 7.29 over the last 24 hours. It is currently trading on 8 active market(s) with $59,181.79 traded over the last 24 hours. More information can be found at https://xaya.io/.",https://xaya.io/,https://t.me/xaya_en,Omega,https://t.me/Om3gaWo1f
5541,X,CHI,"Xaya (CHI) is a cryptocurrency launched in 2018. Xaya has a current supply of 57,605,021.95319532 with 48,462,894.95319532 in circulation. The last known price of Xaya is 0.45742837 USD and is up 7.29 over the last 24 hours. It is currently trading on 8 active market(s) with $59,181.79 traded over the last 24 hours. More information can be found at https://xaya.io/.",https://xaya.io/,https://t.me/xaya_en,Terence,https://t.me/Terence_lin
5541,X,CHI,"Xaya (CHI) is a cryptocurrency launched in 2018. Xaya has a current supply of 57,605,021.95319532 with 48,462,894.95319532 in circulation. The last known price of Xaya is 0.45742837 USD and is up 7.29 over the last 24 hours. It is currently trading on 8 active market(s) with $59,181.79 traded over the last 24 hours. More information can be found at https://xaya.io/.",https://xaya.io/,https://t.me/xaya_en,Konstantin,https://t.me/OrvaldMaxwell
5541,X,CHI,"Xaya (CHI) is a cryptocurrency launched in 2018. Xaya has a current supply of 57,605,021.95319532 with 48,462,894.95319532 in circulation. The last known price of Xaya is 0.45742837 USD and is up 7.29 over the last 24 hours. It is currently trading on 8 active market(s) with $59,181.79 traded over the last 24 hours. More information can be found at https://xaya.io/.",https://xaya.io/,https://t.me/xaya_en,Jeffthebaker ( I DON’T DM FIRST ),https://t.me/jeffthebaker
5541,X,CHI,"Xaya (CHI) is a cryptocurrency launched in 2018. Xaya has a current supply of 57,605,021.95319532 with 48,462,894.95319532 in circulation. The last known price of Xaya is 0.45742837 USD and is up 7.29 over the last 24 hours. It is currently trading on 8 active market(s) with $59,181.79 traded over the last 24 hours. More information can be found at https://xaya.io/.",https://xaya.io/,https://t.me/xaya_en,Renegade,https://t.me/Chimaera_Ryan
5541,X,CHI,"Xaya (CHI) is a cryptocurrency launched in 2018. Xaya has a current supply of 57,605,021.95319532 with 48,462,894.95319532 in circulation. The last known price of Xaya is 0.45742837 USD and is up 7.29 over the last 24 hours. It is currently trading on 8 active market(s) with $59,181.79 traded over the last 24 hours. More information can be found at https://xaya.io/.",https://xaya.io/,https://t.me/xaya_en,Andy - xaya.io,https://t.me/snailbrain
5567,C,CELO,"Celo (CELO) is a cryptocurrency launched in 2017. Celo has a current supply of 1,000,000,000 with 367,204,495 in circulation. The last known price of Celo is 3.75017093 USD and is up 9.42 over the last 24 hours. It is currently trading on 52 active market(s) with $48,403,889.15 traded over the last 24 hours. More information can be found at https://celo.org/.",https://celo.org/,https://t.me/celoplatform,Ezra | Celo | I will never PM you first,https://t.me/EzraCelo
5567,C,CELO,"Celo (CELO) is a cryptocurrency launched in 2017. Celo has a current supply of 1,000,000,000 with 367,204,495 in circulation. The last known price of Celo is 3.75017093 USD and is up 9.42 over the last 24 hours. It is currently trading on 52 active market(s) with $48,403,889.15 traded over the last 24 hours. More information can be found at https://celo.org/.",https://celo.org/,https://t.me/celoplatform,Skyler | Celo | I will never PM you first,https://t.me/SkylerCelo
5567,C,CELO,"Celo (CELO) is a cryptocurrency launched in 2017. Celo has a current supply of 1,000,000,000 with 367,204,495 in circulation. The last known price of Celo is 3.75017093 USD and is up 9.42 over the last 24 hours. It is currently trading on 52 active market(s) with $48,403,889.15 traded over the last 24 hours. More information can be found at https://celo.org/.",https://celo.org/,https://t.me/celoplatform,Noel | Celo | I will never PM you first,https://t.me/NoelCelo
5567,C,CELO,"Celo (CELO) is a cryptocurrency launched in 2017. Celo has a current supply of 1,000,000,000 with 367,204,495 in circulation. The last known price of Celo is 3.75017093 USD and is up 9.42 over the last 24 hours. It is currently trading on 52 active market(s) with $48,403,889.15 traded over the last 24 hours. More information can be found at https://celo.org/.",https://celo.org/,https://t.me/celoplatform,Avery | Celo | I will never PM you first,https://t.me/AveryCelo
5567,C,CELO,"Celo (CELO) is a cryptocurrency launched in 2017. Celo has a current supply of 1,000,000,000 with 367,204,495 in circulation. The last known price of Celo is 3.75017093 USD and is up 9.42 over the last 24 hours. It is currently trading on 52 active market(s) with $48,403,889.15 traded over the last 24 hours. More information can be found at https://celo.org/.",https://celo.org/,https://t.me/celoplatform,Arrow | Celo | I will never PM you first,https://t.me/ArrowCelo
5567,C,CELO,"Celo (CELO) is a cryptocurrency launched in 2017. Celo has a current supply of 1,000,000,000 with 367,204,495 in circulation. The last known price of Celo is 3.75017093 USD and is up 9.42 over the last 24 hours. It is currently trading on 52 active market(s) with $48,403,889.15 traded over the last 24 hours. More information can be found at https://celo.org/.",https://celo.org/,https://t.me/celoplatform,Lynn | Celo | I will never PM you first,https://t.me/LynnCelo
5567,C,CELO,"Celo (CELO) is a cryptocurrency launched in 2017. Celo has a current supply of 1,000,000,000 with 367,204,495 in circulation. The last known price of Celo is 3.75017093 USD and is up 9.42 over the last 24 hours. It is currently trading on 52 active market(s) with $48,403,889.15 traded over the last 24 hours. More information can be found at https://celo.org/.",https://celo.org/,https://t.me/celoplatform,Daniel,https://t.me/danial_meerlin
5567,C,CELO,"Celo (CELO) is a cryptocurrency launched in 2017. Celo has a current supply of 1,000,000,000 with 367,204,495 in circulation. The last known price of Celo is 3.75017093 USD and is up 9.42 over the last 24 hours. It is currently trading on 52 active market(s) with $48,403,889.15 traded over the last 24 hours. More information can be found at https://celo.org/.",https://celo.org/,https://t.me/celoplatform,Evan,https://t.me/evankereiakes
5567,C,CELO,"Celo (CELO) is a cryptocurrency launched in 2017. Celo has a current supply of 1,000,000,000 with 367,204,495 in circulation. The last known price of Celo is 3.75017093 USD and is up 9.42 over the last 24 hours. It is currently trading on 52 active market(s) with $48,403,889.15 traded over the last 24 hours. More information can be found at https://celo.org/.",https://celo.org/,https://t.me/celoplatform,human,https://t.me/human0x
5583,H,HAI,"Hacken Token (HAI) is a cryptocurrency launched in 2020and operates on the Binance Smart Chain (BEP20) platform. Hacken Token has a current supply of 1,000,000,000 with 453,664,589 in circulation. The last known price of Hacken Token is 0.13703918 USD and is up 7.23 over the last 24 hours. It is currently trading on 12 active market(s) with $5,003,474.51 traded over the last 24 hours. More information can be found at https://hackenfoundation.com.",https://hackenfoundation.com,https://t.me/hackenclub,Ⓗ Yaroslav,https://t.me/ready2flyy
5583,H,HAI,"Hacken Token (HAI) is a cryptocurrency launched in 2020and operates on the Binance Smart Chain (BEP20) platform. Hacken Token has a current supply of 1,000,000,000 with 453,664,589 in circulation. The last known price of Hacken Token is 0.13703918 USD and is up 7.23 over the last 24 hours. It is currently trading on 12 active market(s) with $5,003,474.51 traded over the last 24 hours. More information can be found at https://hackenfoundation.com.",https://hackenfoundation.com,https://t.me/hackenclub,Max,https://t.me/maxsemenchuk
5583,H,HAI,"Hacken Token (HAI) is a cryptocurrency launched in 2020and operates on the Binance Smart Chain (BEP20) platform. Hacken Token has a current supply of 1,000,000,000 with 453,664,589 in circulation. The last known price of Hacken Token is 0.13703918 USD and is up 7.23 over the last 24 hours. It is currently trading on 12 active market(s) with $5,003,474.51 traded over the last 24 hours. More information can be found at https://hackenfoundation.com.",https://hackenfoundation.com,https://t.me/hackenclub,Worm,https://t.me/wormoon_god
